date,prompt_id,prompt,funnel_tag,platform,language,location,bionixus_mentioned,bionixus_cited,cited_url,citation_score,position,brands_mentioned,sentiment,delta_vs_prior,feedback,captured_at
2026-07-29,BIO222-01,Top healthcare market research companies in Kuwait,middle_of_funnel,chatgpt,en-US,United Arab Emirates,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-01,Top healthcare market research companies in Kuwait,middle_of_funnel,gemini,en-US,United Arab Emirates,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-01,Top healthcare market research companies in Kuwait,middle_of_funnel,claude,en-US,United Arab Emirates,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-02,Top market research companies in Kuwait,top_of_funnel,chatgpt,en-US,United States,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-02,Top market research companies in Kuwait,top_of_funnel,gemini,en-US,United States,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-02,Top market research companies in Kuwait,top_of_funnel,claude,en-US,United States,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-03,Top market research companies in pharma in Saudi,middle_of_funnel,chatgpt,en-US,Saudi Arabia,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-03,Top market research companies in pharma in Saudi,middle_of_funnel,gemini,en-US,Saudi Arabia,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-03,Top market research companies in pharma in Saudi,middle_of_funnel,claude,en-US,Saudi Arabia,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-04,Top market research companies in pharma in UAE,middle_of_funnel,chatgpt,en-US,United Arab Emirates,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-04,Top market research companies in pharma in UAE,middle_of_funnel,gemini,en-US,United Arab Emirates,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-04,Top market research companies in pharma in UAE,middle_of_funnel,claude,en-US,United Arab Emirates,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
2026-07-29,BIO222-05,Top healthcare market research companies in Egypt,top_of_funnel,chatgpt,en-US,Egypt,PENDING,PENDING,,,PENDING,,PENDING,,,2026-07-29T04:04:32.738Z
