pathname,url,status,cluster,word_count,title,h1,thin,not_found
/ar/blog/%d8%b3%d9%88%d9%82-%d8%a7%d9%84%d8%af%d9%88%d8%a7%d8%a1-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a-2026,https://www.bionixus.com/ar/blog/%d8%b3%d9%88%d9%82-%d8%a7%d9%84%d8%af%d9%88%d8%a7%d8%a1-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a-2026,200,ar-localized,18,"سوق الدواء السعودي 2026: رؤى واتجاهات | BioNixus","سوق الدواء السعودي 2026 — BioNixus",yes,no
/ar/blog/%d8%a3%d8%a8%d8%ad%d8%a7%d8%ab-%d8%a7%d9%84%d8%b3%d9%88%d9%82-%d8%a7%d9%84%d8%af%d9%88%d8%a7%d8%a6%d9%8a%d8%a9-%d9%81%d9%8a-%d8%a7%d9%84%d8%b4%d8%b1%d9%82-%d8%a7%d9%84%d8%a3%d9%88%d8%b3%d8%b7-%d9%88-%d8%af%d9%88%d9%84-%d8%a7%d9%84%d8%ae%d9%84%d9%8a%d8%ac-%d8%a7%d9%84%d8%b9%d8%b1%d8%a8%d9%8a,https://www.bionixus.com/ar/blog/%d8%a3%d8%a8%d8%ad%d8%a7%d8%ab-%d8%a7%d9%84%d8%b3%d9%88%d9%82-%d8%a7%d9%84%d8%af%d9%88%d8%a7%d8%a6%d9%8a%d8%a9-%d9%81%d9%8a-%d8%a7%d9%84%d8%b4%d8%b1%d9%82-%d8%a7%d9%84%d8%a3%d9%88%d8%b3%d8%b7-%d9%88-%d8%af%d9%88%d9%84-%d8%a7%d9%84%d8%ae%d9%84%d9%8a%d8%ac-%d8%a7%d9%84%d8%b9%d8%b1%d8%a8%d9%8a,200,ar-localized,24,"أبحاث السوق الصيدلانية الشرق الأوسط والخليج 2026 | BioNixus","أبحاث السوق الدوائية في الشرق الأوسط و دول الخليج العربي — BioNixus",yes,no
/ar/strategic-portfolio,https://www.bionixus.com/ar/strategic-portfolio,200,ar-localized,85,"محفظة BioNixus الاستراتيجية | أبحاث السوق والاستشارات","أبحاث السوق و<em>الاستشارات الاستراتيجية</em>",yes,no
/strategic-portfolio,https://www.bionixus.com/strategic-portfolio,200,standalone-landing,86,"BioNixus Strategic Portfolio | Market Research &amp; Consulting","Market research &amp; <em>strategic consulting</em> portfolio",yes,no
/de/blog/gesundheitsmarkt-deutschland-2026,https://www.bionixus.com/de/blog/gesundheitsmarkt-deutschland-2026,200,standalone-landing,108,"Blog Gesundheitsmarkt Deutschland 2026 | BioNixus","",yes,no
/de/blog/pharmamarktforschung-deutschland-2026,https://www.bionixus.com/de/blog/pharmamarktforschung-deutschland-2026,200,standalone-landing,108,"Blog Pharmamarktforschung Deutschland 2026 | BioNixus","",yes,no
/de/blog/amnog-frueher-nutzen-marktzugang-2026,https://www.bionixus.com/de/blog/amnog-frueher-nutzen-marktzugang-2026,200,standalone-landing,110,"Blog Amnog Frueher Nutzen Marktzugang 2026 | BioNixus","",yes,no
/de/blog/deutsche-pharmaunternehmen-2026-pipeline-updates,https://www.bionixus.com/de/blog/deutsche-pharmaunternehmen-2026-pipeline-updates,200,standalone-landing,110,"Blog Deutsche Pharmaunternehmen 2026 Pipeline Upd | BioNixus","",yes,no
/media,https://www.bionixus.com/media,200,standalone-landing,126,"Media Kit & Press Contact | BioNixus","Media kit",yes,no
/zh/methodology,https://www.bionixus.com/zh/methodology,200,standalone-landing,135,"Healthcare Research Methodology & Process | BioNixus","医疗健康市场研究方法",yes,no
